2020-08-06 22:35:39 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2020-08-06 22:35:39 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:35:39 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:35:39 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:35:39 install libaudit1:amd64 <none> 1:2.8.2-1ubuntu1
2020-08-06 22:35:39 status half-installed libaudit1:amd64 1:2.8.2-1ubuntu1
2020-08-06 22:35:39 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2020-08-06 22:35:39 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2020-08-06 22:35:39 install libblkid1:amd64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:35:39 status half-installed libblkid1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:39 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:39 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:39 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2020-08-06 22:35:39 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2020-08-06 22:35:39 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2020-08-06 22:35:39 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2020-08-06 22:35:39 install libc-bin:amd64 <none> 2.27-3ubuntu1
2020-08-06 22:35:39 status half-installed libc-bin:amd64 2.27-3ubuntu1
2020-08-06 22:35:39 status unpacked libc-bin:amd64 2.27-3ubuntu1
2020-08-06 22:35:39 status unpacked libc-bin:amd64 2.27-3ubuntu1
2020-08-06 22:35:39 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2020-08-06 22:35:39 status half-configured libc6:amd64 2.27-3ubuntu1
2020-08-06 22:35:39 status unpacked libc6:amd64 2.27-3ubuntu1
2020-08-06 22:35:39 status half-installed libc6:amd64 2.27-3ubuntu1
2020-08-06 22:35:42 status half-installed libc6:amd64 2.27-3ubuntu1
2020-08-06 22:35:42 status unpacked libc6:amd64 2.27-3ubuntu1
2020-08-06 22:35:42 status unpacked libc6:amd64 2.27-3ubuntu1
2020-08-06 22:35:42 install libcap-ng0:amd64 <none> 0.7.7-3.1
2020-08-06 22:35:42 status half-installed libcap-ng0:amd64 0.7.7-3.1
2020-08-06 22:35:42 status unpacked libcap-ng0:amd64 0.7.7-3.1
2020-08-06 22:35:42 status unpacked libcap-ng0:amd64 0.7.7-3.1
2020-08-06 22:35:42 install libcom-err2:amd64 <none> 1.44.1-1
2020-08-06 22:35:42 status half-installed libcom-err2:amd64 1.44.1-1
2020-08-06 22:35:42 status unpacked libcom-err2:amd64 1.44.1-1
2020-08-06 22:35:42 status unpacked libcom-err2:amd64 1.44.1-1
2020-08-06 22:35:42 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2020-08-06 22:35:42 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-08-06 22:35:42 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-08-06 22:35:42 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-08-06 22:35:42 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2020-08-06 22:35:42 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2020-08-06 22:35:42 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-08-06 22:35:42 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-08-06 22:35:42 install libext2fs2:amd64 <none> 1.44.1-1
2020-08-06 22:35:42 status half-installed libext2fs2:amd64 1.44.1-1
2020-08-06 22:35:42 status unpacked libext2fs2:amd64 1.44.1-1
2020-08-06 22:35:42 status unpacked libext2fs2:amd64 1.44.1-1
2020-08-06 22:35:42 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:35:42 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:42 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:42 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:43 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2020-08-06 22:35:43 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2020-08-06 22:35:43 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-08-06 22:35:43 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-08-06 22:35:43 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2020-08-06 22:35:43 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2020-08-06 22:35:43 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-08-06 22:35:43 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
